conc2,conc3,dG
0.0001,0.0001,0.0001
0.0001,0.16483,-0.21341
0.0001,0.34045,-0.50203
0.0001,0.51656,-0.89785
0.0001,0.68591,-1.19804
0.0001,0.82597,-1.37944
0.0001,0.95904,-1.81451
0.0001,1.07015,-1.96279
0.0001,0.0001,0.0001
0.2323,0.0001,-0.03976
0.45486,0.0001,-0.14299
0.69807,0.0001,-0.17101
0.93017,0.0001,-0.18925
1.17892,0.0001,-0.35301
1.41552,0.0001,-0.35407
0.0001,0.29679,-0.52468
0.29876,0.29679,-0.62024
0.59751,0.29679,-0.73254
0.89627,0.29679,-0.83233
1.19503,0.29679,-0.96954
0.0001,0.5974,-0.86793
0.30097,0.5974,-0.90109
0.60194,0.5974,-1.07013
0.9029,0.5974,-1.18415
1.20387,0.5974,-1.35744
0.0001,0.87377,-1.36569
0.33269,0.87377,-1.52803
0.6248,0.87377,-1.6164
0.91692,0.87377,-1.71787
1.20903,0.87377,-1.98496
0.0001,1.19841,-1.80358
0.30042,1.19841,-1.97783
0.60084,1.19841,-2.10713
0.90126,1.19841,-2.16139
1.20168,1.19841,-2.32793
