conc2,conc3,dG
0.0001,0.0001,0.0001
1.00946,0.0001,0.26402
2.00456,0.0001,0.51905
3.01241,0.0001,0.65477
4.0031,0.0001,0.99839
5.02978,0.0001,0.90865
0.0001,0.0001,0.0001
0.0001,0.331275275,-0.11864
0.0001,0.653711811,-0.27213
0.0001,0.971941051,-0.53398
0.0001,1.281386631,-0.44781
0.0001,1.584543193,-0.69334
0.0001,1.871961742,-0.7007
0.0001,1.0074,-0.34858
0.0001,1.0074,-0.34773
1.00313,1.0074,0.05982
1.99141,1.0074,0.17419
2.99175,1.0074,0.35481
3.97447,1.0074,0.5055
4.99226,1.0074,0.64455
0.0001,1.49115,-0.6166
1.00946,1.49115,-0.57453
2.00456,1.49115,-0.29319
3.01241,1.49115,-0.06425
4.0031,1.49115,0.28263
5.02978,1.49115,0.52204
0.0001,1.98683,-0.71351
1.00946,1.98683,-0.39293
2.00456,1.98683,-0.05034
3.01241,1.98683,0.33458
4.0031,1.98683,0.37547
5.02978,1.98683,0.28553
