conc2,conc3,dG
0.0,0.0,0.0
0.05,0.0,0.5
0.1,0.0,1.0
0.15000000000000002,0.0,1.5000000000000002
0.2,0.0,2.0
0.0,0.05,0.75
0.05,0.05,1.2375
0.1,0.05,1.725
0.15000000000000002,0.05,2.2125
0.2,0.05,2.7
0.0,0.1,1.5
0.05,0.1,1.975
0.1,0.1,2.45
0.15000000000000002,0.1,2.925
0.2,0.1,3.4
0.0,0.15000000000000002,2.2500000000000004
0.05,0.15000000000000002,2.7125000000000004
0.1,0.15000000000000002,3.1750000000000003
0.15000000000000002,0.15000000000000002,3.637500000000001
0.2,0.15000000000000002,4.1
0.0,0.2,3.0
0.05,0.2,3.45
0.1,0.2,3.9
0.15000000000000002,0.2,4.35
0.2,0.2,4.8
